Ticker,Close,SMR_Rating_Value,SMR_Rating,RS_Score,Above_AVWAP,AVWAP,VCP_Tightness,Volume_DryUp,Pass_Filter
ACAD,26.709999084472656,100.0,A,36.23092567701038,False,27.39602927453264,True,True,True
ACMR,39.45000076293945,89.87430285455648,A,57.51674309781557,True,36.8109205431858,False,False,True
ACNB,48.349998474121094,63.5949186304356,B,16.35323872075517,False,50.79292906797849,True,False,True
ACT,39.63999938964844,68.36380089556431,B,12.477148707469219,False,40.2968706496471,True,True,True
ADI,271.20001220703125,93.78643211309624,A,17.318325754329212,False,277.0012108507043,True,True,True
AFBI,20.469999313354492,66.40247915509634,B,5.682832664594064,False,21.391858547593582,True,True,True
AGNC,10.720000267028809,100.0,A,21.977703463474718,False,10.737500190734863,True,False,True
ALRS,22.520000457763672,82.35454343314557,A,8.767025351471432,True,21.757618535009968,True,False,True
AMAT,256.989990234375,68.77244627612599,B,34.20008442480817,False,260.08539025514483,True,True,True
AMGN,327.30999755859375,85.48880956533242,A,16.86595784970188,False,327.3510198333019,True,True,True
APA,24.459999084472656,77.60739022224844,B,14.401964698901251,False,25.16504397259087,True,True,True
APP,673.8200073242188,100.0,A,58.86844643743143,True,631.3365711905403,True,True,True
AROW,31.399999618530273,68.74511941111916,B,14.779235804010845,False,32.084352204525665,True,True,True
ASML,1069.8599853515625,65.11203439955005,B,28.731888239614218,False,1084.938500908696,True,True,True
ATLC,66.94999694824219,93.59873915977795,A,17.801188203828023,True,60.33237530334072,True,False,True
ATLO,22.959999084472656,61.576757775030266,B,28.031059613945096,False,23.524554499369238,True,True,True
AUBN,26.950000762939453,100.0,A,9.784971434268725,True,25.799100880637823,False,False,True
AUPH,15.949999809265137,73.6694126302986,B,71.88524443745587,False,16.080168651459914,True,True,True
AZN,91.93000030517578,85.58522442681814,A,26.903945289935955,True,91.08457480250871,True,True,True
BANX,21.81999969482422,60.0,B,9.321163308106724,True,21.205619492519954,True,False,True
BCML,29.399999618530273,60.0,B,8.102436688052196,False,31.07546792135872,True,True,True
BFST,26.139999389648438,78.54806767385277,B,6.883585032640725,False,27.4582834253986,True,True,True
BOKF,118.45999908447266,60.0,B,11.460492526232605,False,120.08538220779464,True,False,True
BOTJ,18.579999923706055,65.75398343867664,B,25.013736374189378,True,18.362769163242906,True,True,True
BPOP,124.5199966430664,71.67410060896052,B,14.114174663375342,True,117.90644852194664,True,True,True
BSRR,32.68000030517578,94.87353015819303,A,12.097198208283565,False,33.58755902600956,True,False,True
BUSE,23.790000915527344,69.43120057186297,B,3.2765971446574462,False,24.77322631700921,True,False,True
BVFL,18.139999389648438,60.0,B,11.989417174625144,False,19.12806639985102,True,True,True
BWAY,19.020000457763672,80.6824166179052,A,55.97583802292056,False,19.21339602995949,False,True,True
BWB,17.530000686645508,60.0,B,11.832892188506605,False,18.26540537122865,True,False,True
CATY,48.38999938964844,60.0,B,2.646801855699432,False,50.44367194617998,True,False,True
CBFV,34.86000061035156,91.996411793867,A,17.56714087863374,False,36.4357521560669,True,True,True
CCBG,42.56999969482422,62.58391692827819,B,7.9616675979421725,False,43.85738722236889,True,False,True
CCB,114.58999633789062,84.97770849020564,A,15.602799572012385,False,116.71080265726361,True,False,True
CCNE,26.170000076293945,63.547279486932645,B,9.681668206468999,False,27.294898572284865,True,False,True
CDRO,8.029999732971191,72.92071906887756,B,13.022861508814684,True,7.109692304217859,True,True,True
CFBK,24.950000762939453,60.0,B,3.394297364852937,False,26.271372437312504,True,True,True
CFFN,6.809999942779541,100.0,A,13.530352082443192,False,7.102739007334868,True,False,True
CG,59.11000061035156,100.0,A,6.831451180886153,True,57.731247642127855,True,True,True
CGO,11.390000343322754,100.0,A,1.9001271018235746,True,11.383058489614458,True,False,True
CHDN,113.77999877929688,75.56096735863153,B,5.665760917969095,True,104.10092605794712,True,True,True
CHMG,55.79999923706055,60.0,B,11.528875349643041,False,57.36732092782387,True,False,True
CHY,11.3100004196167,100.0,A,5.278253318999061,False,11.522550823660755,True,False,True
CHW,7.409999847412109,100.0,A,8.377915658867035,True,7.330357750638508,True,False,True
CINF,163.32000732421875,86.44562069309897,A,9.263785347260482,False,164.65879943249143,True,False,True
CNOB,26.219999313354492,60.0,B,10.527943200433878,False,27.21631859189219,True,False,True
CODA,9.300000190734863,66.88293004190629,B,14.221955608837986,True,9.145998294284967,False,False,True
